127.0.0.1 - - [21/Sep/2023:09:16:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:16:44 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:17:52 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:52 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:53 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:54 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:54 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:54 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:55 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:55 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:56 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:57 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:57 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:57 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:57 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:58 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:58 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:18:58 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:09:22:27 +0900] "GET /client/html/ex15_table.html HTTP/1.1" 200 1069
